python-cleo 2.1.0-1
python-crashtest 0.4.1-2
python-cryptography 41.0.7-1
python-distlib 0.3.8-1
python-dulwich 0.21.7-1
python-emoji 2.10.1-1
python-fastjsonschema 2.19.1-1
python-filelock 3.13.1-1
python-fontawesome 5.10.1.post1-1
python-gobject 3.46.0-1
python-greenlet 3.0.1-1
python-html5lib 1.1-13
python-idna 3.6-1
python-importlib-metadata 5.1.0-1
python-inflect 7.0.0-2
python-installer 0.7.0-3
python-jaraco.classes 3.3.0-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 4.0.0-1
python-jaraco.text 3.12.0-1
python-jeepney 0.8.0-2
python-jsonschema 4.21.1-1
python-jsonschema-specifications 2023.12.1-1
python-keyring 24.3.0-1
python-lark-parser 1.1.9-1
python-lockfile 0.12.2-12
python-more-itertools 10.1.0-1
python-msgpack 1.0.5-1
python-ordered-set 4.1.0-4
python-packaging 23.2-1
python-pexpect 4.9.0-1
python-pillow 10.2.0-1
python-pillowfight 0.3.0-8
python-pip 24.0-1
python-pkginfo 1.9.6-2
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-poetry 1.7.1-1
python-poetry-core 1.9.0-1
python-poetry-plugin-export 1.5.0-1
python-ptyprocess 0.7.0-5
python-pycparser 2.21-5
python-pydantic 2.6.1-1
python-pydantic-core 1:2.16.2-1
python-pynvim 0.5.0-2
python-pypandoc 1.12-1
python-pyproject-hooks 1.0.0-5
python-pyqt5 5.15.10-1
python-pyqt5-sip 12.13.0-1
python-pyrsistent 0.19.3-3
python-rapidfuzz 3.6.0-1
python-referencing 0.33.0-1
python-requests 2.31.0-1
python-requests-toolbelt 1.0.0-1
python-rpds-py 0.17.1-1
python-secretstorage 3.3.3-2
python-setuptools 1:69.0.3-1
python-shellingham 1.5.0.post1-4
python-six 1.16.0-8
python-toml 0.10.2-9
python-tomli 2.0.1-3
python-tomlkit 0.12.3-1
python-trove-classifiers 2024.1.31-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-webencodings 0.5.1-10
python-wheel 0.42.0-1
python-yaml 6.0.1-2
python-zipp 3.17.0-1
qbittorrent 4.6.3-1
qpdf 11.8.0-1
qt5-base 5.15.12+kde+r150-1
qt5-declarative 5.15.12+kde+r31-1
qt5-quickcontrols 5.15.12-1
qt5-svg 5.15.12+kde+r6-1
qt5-translations 5.15.12-1
qt5-wayland 5.15.12+kde+r61-1
qt5-x11extras 5.15.12-1
qt6-base 6.6.1-3
qt6-svg 6.6.1-1
qt6-translations 6.6.1-1
ranger 1.9.3-9
rav1e 0.7.1-1
